Languages,Location,Speakers 2007,Speakers 2008,Speakers 2009,Speakers 2010,Speakers 2011,Speakers 2012,Speakers 2013,Speakers 2014,Speakers 2015,Articles 2007,Articles 2008,Articles 2009,Articles 2010,Articles 2011,Articles 2012,Articles 2013,Articles 2014,Articles 2015,Users 2007,Users 2008,Users 2009,Users 2010,Users 2011,Users 2012,Users 2013,Users 2014,Users 2015
Dhivehi (Maldivian Divehi),South Asia,340000,340000,340000,340000,340000,340000,340000,340000,340000,1960,2720,3340,3552,3592,3651,3664,3667,2964,328,1505,3699,5894,7806,9860,11615,12978,14506
Dutch,Western Europe,20000000,20000000,20000000,20000000,23000000,23000000,23000000,21944690,21944690,389807,507266,578937,662980,1009574,1137565,1715054,1804862,1848969,146239,206603,283742,359237,429932,501683,572087,653876,738759
Dzongkha,South Asia,640000,640000,640000,640000,640000,640000,640000,640000,640000,67,103,129,139,164,164,186,193,154,144,646,1342,1966,2571,2571,3792,4306,4901
Egyptian Arabic,South Asia,0,29000000,29000000,29000000,29000000,29000000,29000000,29000000,29000000,318,318,4250,6906,8192,9482,11303,13272,14570,652,652,6623,14632,23761,36046,47281,58594,73276
Emilian-Romagnol,Southern Europe,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,4400000,517,637,767,1205,1586,1890,2634,3439,6360,174,901,2104,3362,4653,6145,7647,8906,10508
English,Western Europe,600000000,600000000,600000000,600000000,600000000,600000000,600000000,505000000,505000000,2144536,2677837,3143081,3516695,3833734,4132166,4412523,4681294,5044320,6062733,8594138,11303206,13671579,15966526,18134313,20418219,23583708,27113973
Erzya,Eastern Europe,0,260000,260000,260000,260000,260000,260000,260000,260000,638,638,1375,1418,1506,1520,1606,1783,2795,621,621,1520,2331,3020,3723,4341,4866,5507
Estonian,Northern Europe,1075497,1075497,1075497,1075497,1075497,1048660,1048660,1105400,1105400,44022,57942,70499,80938,91758,104650,119119,129562,140874,6199,12854,22936,33385,43603,54989,65028,73929,84769
Ewe,Africa,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,178,203,209,252,280,295,305,315,318,140,714,1537,2479,3330,4140,4847,5441,6621
Extremaduran,Western Europe,0,200000,200000,200000,200000,200000,200000,200000,200000,460,460,1027,1333,2000,2185,2322,2436,2762,865,865,2192,3587,4834,6061,7128,7974,9034
Faroese,Northern Europe,66150,66150,66150,66150,66150,66150,66150,66150,66150,2767,3483,3870,4603,5235,5874,7155,10751,11679,472,1698,3426,5081,6647,8454,10103,11603,13670
Fiji Hindi (Hindustani),Oceania,0,400000,400000,400000,400000,400000,400000,400000,400000,605,605,1506,2397,6012,10942,11641,6515,6592,510,510,1896,3529,5249,7314,9419,11522,13961
Fijian,Oceania,350000,350000,350000,350000,350000,350000,350000,350000,350000,32,52,59,1598,142,263,270,275,260,144,577,1122,1947,2615,3129,3626,3991,4427
Finnish,Northern Europe,5232728,5232728,5232728,5232728,5009390[1],5009390,5009390,5392180,5392180,144426,189469,225561,258372,285178,313521,338665,363002,385209,71404,99706,133803,166551,193483,222635,248963,274978,304780
Franco-Provençal (Arpitan),Southern Europe,140000,140000,140000,140000,140000,140000,140000,140000,140000,1980,2037,2081,2144,2166,2205,2305,2395,2357,188,973,2074,3146,4051,5086,6069,6818,7834
French,Southern Europe,172000000,172000000,172000000,172000000,172000000,172000000,172000000,74980460,74980460,598853,744702,894417,1049999,1190748,1334724,1460221,1576010,1710569,332176,516738,737798,967737,1191408,1452923,1721422,2057528,2408246
Friulian,Southern Europe,600000,600000,600000,600000,600000,600000,600000,600000,600000,2458,2684,2795,2880,2982,3054,3099,3175,3142,296,1181,2376,3484,4402,5327,6189,6818,7628
Gagauz,Eastern Europe,0,0,0,0,590000,590000,590000,590000,590000,554,554,554,554,1218,2064,2574,2786,2737,562,562,562,562,1779,2972,3900,4740,5708
Galician,Southern Europe,3188400,3188400,3188400,3188400,3188400,3188400,3188400,2355000,2355000,30660,42893,54247,66150,79732,95277,108703,119069,126883,2809,7551,15813,24386,32128,41525,49121,55761,64502
Gan,East Asia,0,22000000,22000000,22000000,22000000,22000000,22000000,22000000,22000000,1530,1530,4645,5839,6028,6112,6209,6303,6324,1428,1428,5337,8966,12093,15814,18833,21310,23988
Georgian,Caucasus Central Asia & Middle East,4178604,4178604,4178604,4178604,4178604,4178604,4178604,4237710,4237710,18658,25848,35677,44823,53399,63129,79896,87396,101903,2253,7939,17973,28825,38247,48370,56515,64992,75477
German,Western Europe,128000000,128000000,128000000,128000000,128000000,128000000,128000000,78245280,78245280,683666,844967,1002604,1168889,1334759,1527362,1669645,1792532,1891133,494335,672032,897778,1134367,1347299,1569466,1789106,2045229,2321066
Gilaki,Caucasus Central Asia & Middle East,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,468,1445,5955,5960,5965,5985,6007,6012,5970,118,667,1646,2685,3704,4855,5948,6724,7716
Greek,Southern Europe,17000000,17000000,17000000,17000000,17000000,17000000,17000000,13432940,13432940,30381,38955,47439,58189,67809,82931,96181,113663,113029,14797,30300,53030,74528,94495,117077,137509,162336,189502
Greenlandic,Northern Europe,60000,60000,60000,60000,60000,60000,60000,60000,60000,80,135,275,1031,1458,1587,1602,1619,1621,208,915,1859,2819,3750,4756,5609,6251,7013
Guarani,South America,4600000,4600000,4600000,4600000,4600000,4600000,4600000,4600000,4600000,162,1041,1262,1329,1534,2196,2647,2972,3040,205,991,2058,3108,4084,5270,6341,7181,8280
Gujarati,South Asia,46493990,46493990,46493990,46493990,46493990,46493990,46493990,46636510,46636510,404,2646,11891,17948,21867,22318,25209,25633,25929,567,1828,3917,6704,10360,14423,17985,22516,27799
Haitian,Caribbean,7389066,7389066,7389066,7389066,7389066,7389066,7389066,7731240,7731240,7154,51227,51267,53049,53132,53189,53210,53009,52472,257,1947,4252,6589,8285,9924,11482,12829,14493
Hakka,East Asia,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,30000000,159,501,1487,2040,2265,2340,3654,4345,6237,92,851,3253,5249,6812,8360,10226,12863,15760
Hausa,Africa,69000000,69000000,69000000,69000000,69000000,69000000,69000000,69000000,69000000,25,48,144,265,270,283,295,1398,1355,135,585,1384,2063,2652,3266,3898,4526,5330
Hawaiian,Oceania,24000,24000,24000,24000,24000,24000,24000,24000,24000,283,1641,1732,1767,1820,1858,1872,1929,2036,182,984,2145,3199,4172,5118,5948,6646,7517
